
==============================
Topic Block Report: Telejornal_TVI_Dec_18
==============================

Total segments after smoothing: 280
Total frames: 803

Segments:
- Politics | frames 3978–3979 (2 frames)
- Sports | frames 3982–3983 (2 frames)
- Politics | frames 3988–3989 (2 frames)
- Other | frames 3999–4002 (4 frames)
- Other | frames 4019–4022 (4 frames)
- Politics | frames 4042–4043 (2 frames)
- Politics | frames 4051–4052 (2 frames)
- Politics | frames 4062–4063 (2 frames)
- Economy | frames 4072–4074 (3 frames)

Topic block count (each block = 1 vote):
  Other: 54
  Politics: 79
  Justice/Crime: 38
  International: 7
  Sports: 9
  Economy: 2
  Society: 2
  Accidents: 3

Total frames per topic:
  Other: 295 frames (36.7%)
  Politics: 381 frames (47.4%)
  Justice/Crime: 80 frames (10.0%)
  International: 14 frames (1.7%)
  Sports: 18 frames (2.2%)
  Economy: 5 frames (0.6%)
  Society: 4 frames (0.5%)
  Accidents: 6 frames (0.7%)
